_EntriesKey,_Id,_AssetGroup,_Level,_NextAssetGroup,_ReleaseDate,_PrefabName,_ImageUiName,_LevelType,_NeedLevel,_Time,_Cost,_RmCost,_MaterialsId1,_MaterialsNum1,_MaterialsId2,_MaterialsNum2,_MaterialsId3,_MaterialsNum3,_MaterialsId4,_MaterialsNum4,_MaterialsId5,_MaterialsNum5,_EffectId,_EffType1,_EffType2,_EffArgs1,_EffArgs2,_EffArgs3,_CostMaxTime,_CostMax,_MaterialMaxTime,_MaterialMax,_Odds,_StaminaMaxTime,_StaminaMax,_EventEffectType,_EventEffectArgs
10010101,10010101,100101,1,10010102,,100101_IMG_01,TW02_100101_IMG_01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010102,10010102,100101,2,10010103,,100101_IMG_01,TW02_100101_IMG_01,3,5,1800,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010103,10010103,100101,3,10010104,,100101_IMG_01,TW02_100101_IMG_01,3,40,10800,20000,0,104001031,10,104001032,1,0,0,201005001,3,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010104,10010104,100101,4,10010105,,100101_IMG_01,TW02_100101_IMG_01,3,100,43200,50000,0,104001021,20,104001022,3,104001023,1,201005001,5,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010105,10010105,100101,5,10010106,,100101_IMG_02,TW02_100101_IMG_02,3,200,86400,100000,0,104001011,50,104001012,7,104001013,2,201005001,10,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010106,10010106,100101,6,10010107,,100101_IMG_02,TW02_100101_IMG_02,3,300,129600,150000,0,104001041,100,104001042,15,104001043,3,201005001,15,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010107,10010107,100101,7,10010108,,100101_IMG_02,TW02_100101_IMG_02,3,400,172800,200000,0,104001051,150,104001052,20,104001053,4,201005001,20,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010108,10010108,100101,8,10010109,,100101_IMG_03,TW02_100101_IMG_03,3,550,216000,250000,0,104001031,200,104001032,25,104001033,6,201005001,25,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010109,10010109,100101,9,10010110,,100101_IMG_03,TW02_100101_IMG_03,3,700,259200,300000,0,104001021,300,104001022,40,104001023,9,201005001,30,0,0,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010110,10010110,100101,10,10010111,,100101_IMG_03,TW02_100101_IMG_03,3,850,302400,350000,0,104001011,400,104001012,80,104001013,20,104001001,40,201005001,50,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10010111,10010111,100101,11,0,2021/05/28 06:00:00,100101_IMG_03,TW02_100101_IMG_03,3,850,345600,400000,0,104001041,500,104001042,90,104001043,30,104001001,50,201005001,90,0,0,0,0,0,0,0,0,0,0,,259200,144,0,0
10020101,10020101,100201,1,10020102,,100201_IMG_01_01,TW02_100201_IMG_01_01,1,1,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,2640,0,0,,0,0,0,0
10020102,10020102,100201,2,10020103,,100201_IMG_01_01,TW02_100201_IMG_01_01,1,1,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,2810,0,0,,0,0,0,0
10020103,10020103,100201,3,10020104,,100201_IMG_01_01,TW02_100201_IMG_01_01,1,1,60,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,2970,0,0,,0,0,0,0
10020104,10020104,100201,4,10020105,,100201_IMG_01_02,TW02_100201_IMG_01_02,1,1,180,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,3140,0,0,,0,0,0,0
10020105,10020105,100201,5,10020106,,100201_IMG_01_02,TW02_100201_IMG_01_02,1,1,300,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,3300,0,0,,0,0,0,0
10020106,10020106,100201,6,10020107,,100201_IMG_01_02,TW02_100201_IMG_01_02,1,1,600,300,0,104001041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,3470,0,0,,0,0,0,0
10020107,10020107,100201,7,10020108,,100201_IMG_01_03,TW02_100201_IMG_01_03,1,1,1200,350,0,104001041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,3630,0,0,,0,0,0,0
10020108,10020108,100201,8,10020109,,100201_IMG_01_03,TW02_100201_IMG_01_03,1,1,2400,400,0,104001041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,3800,0,0,,0,0,0,0
10020109,10020109,100201,9,10020110,,100201_IMG_01_03,TW02_100201_IMG_01_03,1,1,3600,500,0,104001041,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,3960,0,0,,0,0,0,0
10020110,10020110,100201,10,10020111,,100201_IMG_01_03,TW02_100201_IMG_01_03,1,1,7200,600,0,104001041,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,4130,0,0,,0,0,0,0
10020111,10020111,100201,11,10020112,,100201_IMG_01_04,TW02_100201_IMG_01_04,1,1,10800,700,0,104001041,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,4290,0,0,,0,0,0,0
10020112,10020112,100201,12,10020113,,100201_IMG_01_04,TW02_100201_IMG_01_04,1,1,14400,800,0,104001041,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,4460,0,0,,0,0,0,0
10020113,10020113,100201,13,10020114,,100201_IMG_01_04,TW02_100201_IMG_01_04,1,1,18000,900,0,104001041,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,4620,0,0,,0,0,0,0
10020114,10020114,100201,14,10020115,,100201_IMG_01_04,TW02_100201_IMG_01_04,1,1,21600,1000,0,104001041,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,4790,0,0,,0,0,0,0
10020115,10020115,100201,15,10020116,,100201_IMG_01_04,TW02_100201_IMG_01_04,1,1,25200,1100,0,104001041,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800,4950,0,0,,0,0,0,0
10020116,10020116,100201,16,10020117,,100201_IMG_02_01,TW02_100201_IMG_02_01,1,1,28800,1200,0,104001041,8,104001042,1,0,0,0,0,0,0,0,0,0,0,0,0,28800,5120,0,0,,0,0,0,0
10020117,10020117,100201,17,10020118,,100201_IMG_02_01,TW02_100201_IMG_02_01,1,1,36000,1400,0,104001041,8,104001042,1,0,0,0,0,0,0,0,0,0,0,0,0,28800,5280,0,0,,0,0,0,0
10020118,10020118,100201,18,10020119,,100201_IMG_02_01,TW02_100201_IMG_02_01,1,1,43200,1600,0,104001041,8,104001042,1,0,0,0,0,0,0,0,0,0,0,0,0,28800,5450,0,0,,0,0,0,0
10020119,10020119,100201,19,10020120,,100201_IMG_02_01,TW02_100201_IMG_02_01,1,1,50400,1800,0,104001041,10,104001042,1,0,0,0,0,0,0,0,0,0,0,0,0,28800,5610,0,0,,0,0,0,0
10020120,10020120,100201,20,10020121,,100201_IMG_02_01,TW02_100201_IMG_02_01,1,1,57600,2000,0,104001041,10,104001042,1,0,0,0,0,0,0,0,0,0,0,0,0,28800,5780,0,0,,0,0,0,0
10020121,10020121,100201,21,10020122,,100201_IMG_02_02,TW02_100201_IMG_02_02,1,1,64800,2200,0,104001041,15,104001042,2,0,0,0,0,0,0,0,0,0,0,0,0,28800,5940,0,0,,0,0,0,0
