_EntriesKey,_Id,_Title,_GroupId,_BaseId,_VariationId,_StoryReleaseType,_ReleaseTriggerId,_ReleaseStep,_UnlockQuestStoryId,_UnlockTriggerStoryId,_SortId
100001081,100001081,STORY_UNIT_NAME_100001081,10000100,100001,8,1,10150403,0,0,0,20190927
100001082,100001082,STORY_UNIT_NAME_100001082,10000100,100001,8,2,10150403,1,0,100001081,20190927
100001083,100001083,STORY_UNIT_NAME_100001083,10000100,100001,8,2,10150403,2,0,100001082,20190927
100001084,100001084,STORY_UNIT_NAME_100001084,10000100,100001,8,2,10150403,3,0,100001083,20190927
100001085,100001085,STORY_UNIT_NAME_100001085,10000100,100001,8,2,10150403,4,0,100001084,20190927
100001121,100001121,STORY_UNIT_NAME_100001121,10000100,100001,12,1,10350506,0,0,0,20210729
100001122,100001122,STORY_UNIT_NAME_100001122,10000100,100001,12,2,10350506,1,0,100001121,20210729
100001123,100001123,STORY_UNIT_NAME_100001123,10000100,100001,12,2,10350506,2,0,100001122,20210729
100001124,100001124,STORY_UNIT_NAME_100001124,10000100,100001,12,2,10350506,3,0,100001123,20210729
100001125,100001125,STORY_UNIT_NAME_100001125,10000100,100001,12,2,10350506,4,0,100001124,20210729
100001141,100001141,STORY_UNIT_NAME_100001141,10000100,100001,14,1,10150306,0,0,0,20220331
100001142,100001142,STORY_UNIT_NAME_100001142,10000100,100001,14,2,10150306,1,0,100001141,20220331
100001143,100001143,STORY_UNIT_NAME_100001143,10000100,100001,14,2,10150306,2,0,100001142,20220331
100001144,100001144,STORY_UNIT_NAME_100001144,10000100,100001,14,2,10150306,3,0,100001143,20220331
100001145,100001145,STORY_UNIT_NAME_100001145,10000100,100001,14,2,10150306,4,0,100001144,20220331
100002011,100002011,STORY_UNIT_NAME_100002011,10000200,100002,1,1,10540201,0,0,0,0
100002012,100002012,STORY_UNIT_NAME_100002012,10000200,100002,1,2,10540201,1,0,100002011,0
100002013,100002013,STORY_UNIT_NAME_100002013,10000200,100002,1,2,10540201,2,0,100002012,0
100002014,100002014,STORY_UNIT_NAME_100002014,10000200,100002,1,2,10540201,3,0,100002013,0
100002015,100002015,STORY_UNIT_NAME_100002015,10000200,100002,1,2,10540201,4,0,100002014,0
100002021,100002021,STORY_UNIT_NAME_100002021,10000200,100002,2,1,10550402,0,0,0,20181017
100002022,100002022,STORY_UNIT_NAME_100002022,10000200,100002,2,2,10550402,1,0,100002021,20181017
100002023,100002023,STORY_UNIT_NAME_100002023,10000200,100002,2,2,10550402,2,0,100002022,20181017
100002024,100002024,STORY_UNIT_NAME_100002024,10000200,100002,2,2,10550402,3,0,100002023,20181017
100002025,100002025,STORY_UNIT_NAME_100002025,10000200,100002,2,2,10550402,4,0,100002024,20181017
100002061,100002061,STORY_UNIT_NAME_100002061,10000200,100002,6,1,10150302,0,0,0,20190620
100002062,100002062,STORY_UNIT_NAME_100002062,10000200,100002,6,2,10150302,1,0,100002061,20190620
100002063,100002063,STORY_UNIT_NAME_100002063,10000200,100002,6,2,10150302,2,0,100002062,20190620
100002064,100002064,STORY_UNIT_NAME_100002064,10000200,100002,6,2,10150302,3,0,100002063,20190620
100002065,100002065,STORY_UNIT_NAME_100002065,10000200,100002,6,2,10150302,4,0,100002064,20190620
100002131,100002131,STORY_UNIT_NAME_100002131,10000200,100002,13,1,10450202,0,0,0,20191128
100002132,100002132,STORY_UNIT_NAME_100002132,10000200,100002,13,2,10450202,1,0,100002131,20191128
100002133,100002133,STORY_UNIT_NAME_100002133,10000200,100002,13,2,10450202,2,0,100002132,20191128
100002134,100002134,STORY_UNIT_NAME_100002134,10000200,100002,13,2,10450202,3,0,100002133,20191128
100002135,100002135,STORY_UNIT_NAME_100002135,10000200,100002,13,2,10450202,4,0,100002134,20191128
100002151,100002151,STORY_UNIT_NAME_100002151,10000200,100002,15,1,10550103,0,0,0,20210114
100002152,100002152,STORY_UNIT_NAME_100002152,10000200,100002,15,2,10550103,1,0,100002151,20210114
100002153,100002153,STORY_UNIT_NAME_100002153,10000200,100002,15,2,10550103,2,0,100002152,20210114
100002154,100002154,STORY_UNIT_NAME_100002154,10000200,100002,15,2,10550103,3,0,100002153,20210114
100002155,100002155,STORY_UNIT_NAME_100002155,10000200,100002,15,2,10550103,4,0,100002154,20210114
100003011,100003011,STORY_UNIT_NAME_100003011,10000300,100003,1,1,10440301,0,0,0,0
